Nombre,Precio regular,Precio promocional,Categoria/s,SKU,URL,Stock,Descripcion
BIBLIOTECA BAJA VENECIA,24899.0,16949.25,"/Hogar/MUEBLES DE INTERIOR/MUEBLES DE OFICINA/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",468218,https://www.hiperlibertad.com.ar/biblioteca-baja-venecia-1430/p,2,"Biblioteca baja para que puedas organizar tus libros/revistas, etc. Su diseño de lineas basicas y puras permite que la adpates a cualquier espacio de tu casa. (living , dormitorio, por que no tu cocina como mueble auxiliar) Biblioteca: 3 estantes Material:Melamina 15 mm Color: Venecia Medidas: 61,5 cm X 136,5 cm X 29,5 cm   Origen: Argentina"
Escritorio PLATINUM gris andino,34899.0,34899.0,"/Hogar/MUEBLES DE INTERIOR/MUEBLES DE OFICINA/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",452212,https://www.hiperlibertad.com.ar/escritorio-platinum-gris-andino/p,1,Escritorio PLATINUM gris andino. Escritorio 501  2 Cajones superior con cerradura  Colorgris andino  Con correderas metalicas  Requiere armado  Peso aproximado de caja: 30 Kg.
ESTANTE FLOTANTE 80 x 25 Cm BLANCO CENTROESTANT,7899.0,5924.25,"/Hogar/MUEBLES DE INTERIOR/MUEBLES DE OFICINA/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",445891,https://www.hiperlibertad.com.ar/estante-flotante-80-x-25-cm-blanco-centroestant/p,5,ESTANTE FLOTANTE CENTROESTANT  80 x 25 Cm. COLOR BLANCO
ESTANTE FLOTANTE 60 x 25 Cm  WENGUE CENTROESTANT,7419.0,5564.25,"/Hogar/MUEBLES DE INTERIOR/MUEBLES DE OFICINA/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",445890,https://www.hiperlibertad.com.ar/estante-flotante-60-x-25-cm-wengue-centroestant/p,7,ESTANTE FLOTANTE CENTROESTANT 60 x 25 Cm. COLOR WENGUE
ESTANTE FLOTANTE CENTROESTANT,7419.0,5564.25,"/Hogar/MUEBLES DE INTERIOR/MUEBLES DE OFICINA/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",445889,https://www.hiperlibertad.com.ar/estante-flotante-centroestant/p,18,ESTANTE EN MELAMINA FLOTANTE CON MENSULA EN METAL INVISIBLE. KIT DE INSTALACIÓN FÁCIL DE COLOCAR
ESTANTE FLOT60 X 25 ROBLE ESCAND,7049.0,5286.75,"/Hogar/MUEBLES DE INTERIOR/MUEBLES DE OFICINA/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",445888,https://www.hiperlibertad.com.ar/estante-flotante-centroestant-3/p,6,ESTANTE FLOT60 X 25 ROBLE ESCAND
ESTANTE KIT CON SOPORTE  60 x 40 Cm WENGUE CENTROESTANT,5989.0,4192.3,"/Hogar/MUEBLES DE INTERIOR/MUEBLES DE OFICINA/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",445882,https://www.hiperlibertad.com.ar/estante-kit-con-soporte-60-x-40-cm-wengue-centroestant/p,6,ESTANTE KIT CENTROESTANT CON SOPORTE 60 x 40 Cm. COLOR WENGUE
ESTANTE CON MESULA CENTROESTANT,5989.0,4192.3,"/Hogar/MUEBLES DE INTERIOR/MUEBLES DE OFICINA/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",445881,https://www.hiperlibertad.com.ar/estante-con-mesula-centroestant-2/p,8,ESTANTE CON MENSULA IDEAL PARA MICROONDAS Y HORNO ELÉCTRICO.
ESTANTE KIT CON SOPORTE  60 x 40 Cm BLANCO CENTROESTANT,5989.0,4192.3,"/Hogar/MUEBLES DE INTERIOR/MUEBLES DE OFICINA/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",445880,https://www.hiperlibertad.com.ar/estante-kit-con-soporte-60-x-40-cm-blanco-centroestant/p,5,ESTANTE KIT CENTROESTANT CON SOPORTE 60 x 40 Cm. COLOR BLANCO
ESTANTE KIT CON SOPORTE  60 x 20 Cm WENGUE CENTROESTANT,4099.0,2869.3,"/Hogar/MUEBLES DE INTERIOR/MUEBLES DE OFICINA/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",445879,https://www.hiperlibertad.com.ar/estante-kit-con-soporte-60-x-20-cm-wengue-centroestant/p,4,ESTANTE KIT CENTROESTANT CON SOPORTE  60 x 20 Cm. COLOR WENGUE
